Type,Airline,Year,Month,Aircraft Number,Aircraft Hours,Aircraft Kilometres,Passenger Number,Passenger Kilometers,Seat Kilometers,Passenger Load Factor,Passenger Tonne Kilometer,Total Tonne Kilometer,Available Tonne Kilometer,Weight Load Factor
NonScheduledDomestic,Air India,2015,1,204,231.0,120.0,25905.0,15260.0,17609.0,86.66,1145.0,1145.0,1694.0,67.591
NonScheduledDomestic,Air India,2015,2,194,221.0,115.0,24648.0,14626.0,16757.0,87.283,1097.0,1097.0,1631.0,67.259
NonScheduledDomestic,Air India,2015,3,234,272.0,145.0,30102.0,18690.0,21975.0,85.051,1402.0,1402.0,2086.0,67.21
NonScheduledDomestic,Air India,2015,4,162,193.0,103.0,19320.0,12436.0,15496.0,80.253,933.0,933.0,1434.0,65.063
NonScheduledDomestic,Air India,2015,5,218,252.0,132.0,27031.0,16601.0,19575.0,84.807,1245.0,1245.0,1828.0,68.107
NonScheduledDomestic,Air India,2015,6,214,248.0,132.0,27416.0,16800.0,19647.0,85.509,1260.0,1260.0,1876.0,67.164
NonScheduledDomestic,Air India,2015,7,136,168.0,84.0,17175.0,10701.0,12483.0,85.725,803.0,803.0,1124.0,71.441
NonScheduledDomestic,Air India,2015,8,154,183.0,90.0,19747.0,11489.0,12631.0,90.959,862.0,862.0,1209.0,71.299
NonScheduledDomestic,Air India,2015,9,182,229.0,93.0,23546.0,12059.0,13469.0,89.532,904.0,904.0,1309.0,69.06
NonScheduledDomestic,Air India,2015,10,190,240.0,100.0,24669.0,12970.0,14949.0,86.762,973.0,973.0,1436.0,67.758
NonScheduledDomestic,Air India,2015,11,178,227.0,96.0,23936.0,12931.0,14311.0,90.357,970.0,970.0,1404.0,69.088
NonScheduledDomestic,Air India,2015,12,181,250.0,98.0,23985.0,12907.0,14566.0,88.61,968.0,968.0,1408.0,68.75
NonScheduledDomestic,Air India,2016,1,204,290.0,113.0,26082.0,14586.0,16713.0,87.273,1094.0,1094.0,1622.0,67.448
NonScheduledDomestic,Air India,2016,2,196,278.0,111.0,25365.0,14330.0,16520.0,86.743,1075.0,1075.0,1590.0,67.61
NonScheduledDomestic,Air India,2016,3,228,325.0,133.0,29748.0,17460.0,19740.0,88.45,1310.0,1310.0,1915.0,68.407
NonScheduledDomestic,Air India,2016,4,218,321.0,129.0,28080.0,16146.0,19502.0,82.792,1211.0,1211.0,1943.0,62.326
NonScheduledDomestic,Air India,2016,5,261,425.0,185.0,40037.0,35368.0,37978.0,93.128,2653.0,2653.0,5019.0,52.859
NonScheduledDomestic,Air India,2016,6,221,319.0,128.0,28403.0,16476.0,18849.0,87.41,1236.0,1236.0,1835.0,67.357
